agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,robbery_tot_arrests,robbery_tot_adult,robbery_tot_juv,robbery_tot_male,robbery_tot_female,robbery_tot_male_adult,robbery_tot_male_juv,robbery_tot_female_adult,robbery_tot_female_juv,robbery_male_under_10,robbery_male_10_12,robbery_male_13_14,robbery_male_15,robbery_male_16,robbery_male_17,robbery_male_18,robbery_male_19,robbery_male_20,robbery_male_21,robbery_male_22,robbery_male_23,robbery_male_24,robbery_male_25_29,robbery_male_30_34,robbery_male_35_39,robbery_male_40_44,robbery_male_45_49,robbery_male_50_54,robbery_male_55_59,robbery_male_60_64,robbery_male_over_64,robbery_female_under_10,robbery_female_10_12,robbery_female_13_14,robbery_female_15,robbery_female_16,robbery_female_17,robbery_female_18,robbery_female_19,robbery_female_20,robbery_female_21,robbery_female_22,robbery_female_23,robbery_female_24,robbery_female_25_29,robbery_female_30_34,robbery_female_35_39,robbery_female_40_44,robbery_female_45_49,robbery_female_50_54,robbery_female_55_59,robbery_female_60_64,robbery_female_over_64,robbery_adult_white,robbery_adult_black,robbery_adult_asian,robbery_adult_indian,robbery_juv_white,robbery_juv_black,robbery_juv_asian,robbery_juv_indian
Green Bay,1980,Wisconsin,WI,87929,WI00502,WI0050200,55,009,55009,local police department,"cities 50,000-99,999",east north central,non-suburban,25,16,9,24,1,15,9,1,9,0,0,0,2,2,5,1,3,0,3,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,9,0,0,0
Buffalo,1980,Wisconsin,WI,14105,WI00600,WI0060000,55,011,55011,sheriffs office,"non-msa cnty 10,000-24,999",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burnett,1980,Wisconsin,WI,12303,WI00700,WI0070000,55,013,55013,sheriffs office,"non-msa cnty 10,000-24,999",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calumet,1980,Wisconsin,WI,14431,WI00800,WI0080000,55,015,55015,sheriffs office,"msa cnty 10,000-24,999",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chilton,1980,Wisconsin,WI,2961,WI00801,WI0080100,55,015,55015,local police department,"cities 2,500-9,999",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Holstein,1980,Wisconsin,WI,3426,WI00802,WI0080200,55,015,55015,local police department,"cities 2,500-9,999",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brillion,1980,Wisconsin,WI,2919,WI00803,WI0080300,55,015,55015,local police department,"cities 2,500-9,999",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chippewa,1980,Wisconsin,WI,32704,WI00900,WI0090000,55,017,55017,sheriffs office,"msa cnty 25,000-99,999",east north central,suburban,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Chippewa Falls,1980,Wisconsin,WI,12270,WI00901,WI0090100,55,017,55017,local police department,"cities 10,000-24,999",east north central,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bloomer,1980,Wisconsin,WI,3338,WI00902,WI0090200,55,017,55017,local police department,"cities 2,500-9,999",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanley,1980,Wisconsin,WI,2089,WI00904,WI0090400,55,017,55017,local police department,"cities under 2,500",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark,1980,Wisconsin,WI,30133,WI01000,WI0100000,55,019,55019,sheriffs office,"non-msa cnty 25,000-99,999",east north central,non-suburban,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Neillsville,1980,Wisconsin,WI,2787,WI01003,WI0100300,55,019,55019,local police department,"cities 2,500-9,999",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,1980,Wisconsin,WI,28663,WI01100,WI0110000,55,021,55021,sheriffs office,"non-msa cnty 25,000-99,999",east north central,non-suburban,3,0,3,3,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Portage,1980,Wisconsin,WI,7873,WI01101,WI0110100,55,021,55021,local police department,"cities 2,500-9,999",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Dells,1980,Wisconsin,WI,2524,WI01102,WI0110200,55,021,55021,local police department,"cities 2,500-9,999",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,1980,Wisconsin,WI,4047,WI01103,WI0110300,55,021,55021,local police department,"cities 2,500-9,999",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford,1980,Wisconsin,WI,10610,WI01200,WI0120000,55,023,55023,sheriffs office,"non-msa cnty 10,000-24,999",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prairie Du Chien,1980,Wisconsin,WI,5837,WI01201,WI0120100,55,023,55023,local police department,"cities 2,500-9,999",east north central,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dane,1980,Wisconsin,WI,73406,WI01300,WI0130000,55,025,55025,sheriffs office,"msa cnty 25,000-99,999",east north central,suburban,20,18,2,19,1,17,2,1,2,0,0,1,0,0,1,2,3,1,1,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,2,0,0,0
Madison,1980,Wisconsin,WI,169641,WI01301,WI0130100,55,025,55025,local police department,"cities 100,000-249,999",east north central,non-suburban,54,38,16,48,6,34,14,4,14,0,1,2,6,1,4,7,2,4,2,1,1,1,7,6,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,25,12,0,1,11,5,0,0
Middleton,1980,Wisconsin,WI,11564,WI01302,WI0130200,55,025,55025,local police department,"cities 10,000-24,999",east north central,suburban,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Monona,1980,Wisconsin,WI,8807,WI01303,WI0130300,55,025,55025,local police department,"cities 2,500-9,999",east north central,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Stoughton,1980,Wisconsin,WI,7418,WI01305,WI0130500,55,025,55025,local police department,"cities 2,500-9,999",east north central,suburban,3,2,1,3,0,2,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
Sun Prairie,1980,Wisconsin,WI,12731,WI01306,WI0130600,55,025,55025,local police department,"cities 10,000-24,999",east north central,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
University Of Wisconsin,1980,Wisconsin,WI,0,WI01308,WI0130800,55,025,55025,special jurisdiction,"cities under 2,500",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Town,1980,Wisconsin,WI,4863,WI01310,WI0131000,55,025,55025,local police department,"cities 2,500-9,999",east north central,suburban,10,8,2,8,2,6,2,2,2,0,1,0,0,0,1,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,2,1,1,0,0
De Forest,1980,Wisconsin,WI,1925,WI01367,WI0136700,55,025,55025,local police department,"cities under 2,500",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fitchburg,1980,Wisconsin,WI,11915,WI01370,WI0137000,55,025,55025,local police department,"cities 10,000-24,999",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mcfarland,1980,Wisconsin,WI,3687,WI01373,WI0137300,55,025,55025,local police department,"cities 2,500-9,999",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,1980,Wisconsin,WI,3881,WI01374,WI0137400,55,025,55025,local police department,"cities 2,500-9,999",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shorewood Hills,1980,Wisconsin,WI,1837,WI01375,WI0137500,55,025,55025,local police department,"cities under 2,500",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verona,1980,Wisconsin,WI,3325,WI01376,WI0137600,55,025,55025,local police department,"cities 2,500-9,999",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waunakee,1980,Wisconsin,WI,3866,WI01377,WI0137700,55,025,55025,local police department,"cities 2,500-9,999",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Protective Service,1980,Wisconsin,WI,0,WI01378,WI0137800,55,025,55025,special jurisdiction,"cities under 2,500",east north central,suburban,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dodge,1980,Wisconsin,WI,41662,WI01400,WI0140000,55,027,55027,sheriffs office,"non-msa cnty 25,000-99,999",east north central,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Beaver Dam,1980,Wisconsin,WI,14130,WI01401,WI0140100,55,027,55027,local police department,"cities 10,000-24,999",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horicon,1980,Wisconsin,WI,3587,WI01403,WI0140300,55,027,55027,local police department,"cities 2,500-9,999",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayville,1980,Wisconsin,WI,4337,WI01405,WI0140500,55,027,55027,local police department,"cities 2,500-9,999",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waupun,1980,Wisconsin,WI,7987,WI01409,WI0140900,55,027,55027,local police department,"cities 2,500-9,999",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door,1980,Wisconsin,WI,16200,WI01500,WI0150000,55,029,55029,sheriffs office,"non-msa cnty 10,000-24,999",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sturgeon Bay,1980,Wisconsin,WI,8788,WI01501,WI0150100,55,029,55029,local police department,"cities 2,500-9,999",east north central,non-suburban,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Douglas,1980,Wisconsin,WI,14751,WI01600,WI0160000,55,031,55031,sheriffs office,"msa cnty 10,000-24,999",east north central,suburban,5,3,2,5,0,3,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
Superior,1980,Wisconsin,WI,29606,WI01601,WI0160100,55,031,55031,local police department,"cities 25,000-49,999",east north central,non-suburban,14,10,4,13,1,9,4,1,4,0,0,1,0,0,3,3,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,4,0,0,0
Dunn,1980,Wisconsin,WI,21555,WI01700,WI0170000,55,033,55033,sheriffs office,"non-msa cnty 10,000-24,999",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menomonie,1980,Wisconsin,WI,12695,WI01701,WI0170100,55,033,55033,local police department,"cities 10,000-24,999",east north central,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eau Claire,1980,Wisconsin,WI,24451,WI01800,WI0180000,55,035,55035,sheriffs office,"msa cnty 10,000-24,999",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eau Claire,1980,Wisconsin,WI,51530,WI01801,WI0180100,55,035,55035,local police department,"cities 50,000-99,999",east north central,suburban,25,18,7,23,2,17,6,1,6,0,0,1,2,1,2,1,1,1,2,1,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,7,0,0,0
Altoona,1980,Wisconsin,WI,4095,WI01802,WI0180200,55,035,55035,local police department,"cities 2,500-9,999",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Univ Of Wis-eau Claire,1980,Wisconsin,WI,0,WI01805,WI0180500,55,035,55035,special jurisdiction,"cities under 2,500",east north central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florence,1980,Wisconsin,WI,4169,WI01900,WI0190000,55,037,55037,sheriffs office,"non-msa cnty under 10,000",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fond Du Lac,1980,Wisconsin,WI,39347,WI02000,WI0200000,55,039,55039,sheriffs office,"non-msa cnty 25,000-99,999",east north central,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Fond Du Lac,1980,Wisconsin,WI,35833,WI02001,WI0200100,55,039,55039,local police department,"cities 25,000-49,999",east north central,non-suburban,11,10,1,11,0,10,1,0,1,0,0,0,0,1,0,1,2,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,1,0,0,0
Ripon,1980,Wisconsin,WI,7139,WI02002,WI0200200,55,039,55039,local police department,"cities 2,500-9,999",east north central,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
North Fond Du Lac,1980,Wisconsin,WI,3842,WI02004,WI0200400,55,039,55039,local police department,"cities 2,500-9,999",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,1980,Wisconsin,WI,9006,WI02100,WI0210000,55,041,55041,sheriffs office,"non-msa cnty under 10,000",east north central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,1980,Wisconsin,WI,35793,WI02200,WI0220000,55,043,55043,sheriffs office,"non-msa cnty 25,000-99,999",east north central,non-suburban,2,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
