agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Esmeralda,1980,Nevada,NV,773,NV00500,NV0050000,32,009,32009,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Eureka,1980,Nevada,NV,1183,NV00600,NV0060000,32,011,32011,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,8,8,0,8,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Humboldt,1980,Nevada,NV,5327,NV00700,NV0070000,32,013,32013,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,5,5,0,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0
Winnemucca,1980,Nevada,NV,4160,NV00701,NV0070100,32,013,32013,local police department,"cities 2,500-9,999",mountain,non-suburban,6,6,0,5,1,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0
Lander,1980,Nevada,NV,4183,NV00800,NV0080000,32,015,32015,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,10,10,0,9,1,9,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Lincoln,1980,Nevada,NV,2729,NV00900,NV0090000,32,017,32017,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,9,8,1,8,1,7,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0
Caliente,1980,Nevada,NV,968,NV00901,NV0090100,32,017,32017,local police department,"cities under 2,500",mountain,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon,1980,Nevada,NV,11652,NV01000,NV0100000,32,019,32019,sheriffs office,"non-msa cnty 10,000-24,999",mountain,non-suburban,18,16,2,17,1,15,2,1,2,0,0,0,1,1,0,0,2,0,1,2,0,1,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,2,2,0,0,0
Yerington,1980,Nevada,NV,2025,NV01001,NV0100100,32,019,32019,local police department,"cities under 2,500",mountain,non-suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
Mineral,1980,Nevada,NV,6168,NV01100,NV0110000,32,021,32021,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,9,9,0,8,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,0,0,0,0,0,0
Nye,1980,Nevada,NV,9120,NV01200,NV0120000,32,023,32023,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,19,19,0,16,3,16,0,3,0,0,0,0,0,0,0,1,1,1,0,0,2,2,1,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0
Carson City,1980,Nevada,NV,32114,NV01300,NV0130000,32,510,32510,sheriffs office,"non-msa cnty 25,000-99,999",mountain,non-suburban,59,51,8,54,5,46,8,5,8,0,0,2,2,2,2,2,3,1,1,4,2,4,6,8,8,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,44,0,0,7,8,0,0,0
Pershing,1980,Nevada,NV,1713,NV01400,NV0140000,32,027,32027,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,6,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Lovelock,1980,Nevada,NV,1683,NV01401,NV0140100,32,027,32027,local police department,"cities under 2,500",mountain,non-suburban,8,8,0,7,1,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0
Storey,1980,Nevada,NV,1460,NV01500,NV0150000,32,029,32029,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Washoe,1980,Nevada,NV,52012,NV01600,NV0160000,32,031,32031,sheriffs office,"msa cnty 25,000-99,999",mountain,suburban,49,45,4,44,5,41,3,4,3,0,0,0,2,1,0,2,5,2,1,3,3,1,7,8,1,2,3,1,1,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,42,3,0,0,4,0,0,0
Reno,1980,Nevada,NV,100943,NV01601,NV0160100,32,031,32031,local police department,"cities 100,000-249,999",mountain,non-suburban,94,85,9,88,6,79,9,6,9,0,1,4,1,1,2,3,3,4,2,3,3,2,15,17,8,8,1,5,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,65,15,0,5,7,2,0,0
Sparks,1980,Nevada,NV,40915,NV01602,NV0160200,32,031,32031,local police department,"cities 25,000-49,999",mountain,suburban,74,55,19,69,5,50,19,5,19,0,4,6,3,2,4,4,1,7,4,2,2,1,12,7,5,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,44,10,0,1,18,1,0,0
University Of Nevada,1980,Nevada,NV,0,NV01603,NV0160300,32,031,32031,special jurisdiction,"cities under 2,500",mountain,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Pine,1980,Nevada,NV,3287,NV01700,NV0170000,32,033,32033,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ely,1980,Nevada,NV,4897,NV01701,NV0170100,32,033,32033,local police department,"cities 2,500-9,999",mountain,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Churchill,1981,Nevada,NV,10176,NV00100,NV0010000,32,001,32001,sheriffs office,"non-msa cnty 10,000-24,999",mountain,non-suburban,6,5,1,6,0,5,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0
Fallon,1981,Nevada,NV,4472,NV00101,NV0010100,32,001,32001,local police department,"cities 2,500-9,999",mountain,non-suburban,8,8,0,6,2,6,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Las Vegas Metro Juris,1981,Nevada,NV,406915,NV00201,NV0020100,32,003,32003,local police department,"cities 250,000-499,999",mountain,non-suburban,423,390,33,375,48,344,31,46,31,0,0,3,6,10,12,18,21,11,20,17,16,23,67,61,25,24,14,15,5,3,4,0,0,0,0,1,1,1,2,4,3,2,0,3,8,10,6,4,1,1,0,1,0,257,129,3,1,21,12,0,0
North Las Vegas,1981,Nevada,NV,45144,NV00202,NV0020200,32,003,32003,local police department,"cities 25,000-49,999",mountain,suburban,153,93,60,130,23,77,51,16,51,2,5,14,9,12,11,3,1,9,5,4,3,6,14,10,7,7,2,2,2,2,0,0,0,1,0,2,4,1,1,3,0,2,1,0,3,2,1,2,0,0,0,0,0,34,58,0,1,17,43,0,0
Henderson,1981,Nevada,NV,25803,NV00203,NV0020300,32,003,32003,local police department,"cities 25,000-49,999",mountain,suburban,28,19,9,25,3,18,7,1,7,0,0,1,2,1,3,2,1,0,0,1,0,0,9,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,5,4,0,0
Boulder City,1981,Nevada,NV,10165,NV00204,NV0020400,32,003,32003,local police department,"cities 10,000-24,999",mountain,suburban,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Douglas,1981,Nevada,NV,20589,NV00300,NV0030000,32,005,32005,sheriffs office,"non-msa cnty 10,000-24,999",mountain,non-suburban,19,19,0,18,1,18,0,1,0,0,0,0,0,0,0,0,2,1,1,3,1,0,2,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,1,0,3,0,0,0,0
Elko,1981,Nevada,NV,6470,NV00400,NV0040000,32,007,32007,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,6,6,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Elko,1981,Nevada,NV,9337,NV00401,NV0040100,32,007,32007,local police department,"cities 2,500-9,999",mountain,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Carlin,1981,Nevada,NV,1284,NV00402,NV0040200,32,007,32007,local police department,"cities under 2,500",mountain,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Esmeralda,1981,Nevada,NV,816,NV00500,NV0050000,32,009,32009,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,6,6,0,4,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0
Eureka,1981,Nevada,NV,1249,NV00600,NV0060000,32,011,32011,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Humboldt,1981,Nevada,NV,5625,NV00700,NV0070000,32,013,32013,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Winnemucca,1981,Nevada,NV,4392,NV00701,NV0070100,32,013,32013,local police department,"cities 2,500-9,999",mountain,non-suburban,10,10,0,9,1,9,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Lincoln,1981,Nevada,NV,2881,NV00900,NV0090000,32,017,32017,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lyon,1981,Nevada,NV,12303,NV01000,NV0100000,32,019,32019,sheriffs office,"non-msa cnty 10,000-24,999",mountain,non-suburban,9,9,0,9,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Yerington,1981,Nevada,NV,2138,NV01001,NV0100100,32,019,32019,local police department,"cities under 2,500",mountain,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mineral,1981,Nevada,NV,6512,NV01100,NV0110000,32,021,32021,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,14,14,0,12,2,12,0,2,0,0,0,0,0,0,0,2,1,0,2,1,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,3,0,1,0,0,0,0
Nye,1981,Nevada,NV,9629,NV01200,NV0120000,32,023,32023,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,14,12,2,14,0,12,2,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0
Carson City,1981,Nevada,NV,33907,NV01300,NV0130000,32,510,32510,sheriffs office,"non-msa cnty 25,000-99,999",mountain,non-suburban,9,9,0,9,0,9,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0
Pershing,1981,Nevada,NV,1809,NV01400,NV0140000,32,027,32027,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,9,9,0,8,1,8,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,1,0,0,0,0
Lovelock,1981,Nevada,NV,1777,NV01401,NV0140100,32,027,32027,local police department,"cities under 2,500",mountain,non-suburban,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Storey,1981,Nevada,NV,1542,NV01500,NV0150000,32,029,32029,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Washoe,1981,Nevada,NV,54916,NV01600,NV0160000,32,031,32031,sheriffs office,"msa cnty 25,000-99,999",mountain,suburban,51,48,3,49,2,46,3,2,3,0,0,0,1,0,2,1,2,3,3,4,3,1,10,6,1,4,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,46,0,1,1,3,0,0,0
Reno,1981,Nevada,NV,106579,NV01601,NV0160100,32,031,32031,local police department,"cities 100,000-249,999",mountain,non-suburban,165,138,27,151,14,125,25,13,25,1,2,3,3,4,13,5,8,6,4,8,11,9,25,15,4,8,9,6,2,3,2,0,1,0,0,0,0,3,0,1,0,1,0,0,2,3,2,0,0,0,1,0,0,113,21,1,3,19,7,0,1
Sparks,1981,Nevada,NV,43200,NV01602,NV0160200,32,031,32031,local police department,"cities 25,000-49,999",mountain,suburban,102,85,17,92,10,79,13,6,13,0,2,4,2,3,2,9,3,5,5,2,3,3,21,9,9,5,3,2,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,69,11,3,2,12,4,0,1
University Of Nevada,1981,Nevada,NV,0,NV01603,NV0160300,32,031,32031,special jurisdiction,"cities under 2,500",mountain,suburban,6,3,3,6,0,3,3,0,3,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0
White Pine,1981,Nevada,NV,8641,NV01700,NV0170000,32,033,32033,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ely,1981,Nevada,NV,5170,NV01701,NV0170100,32,033,32033,local police department,"cities 2,500-9,999",mountain,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churchill,1982,Nevada,NV,10610,NV00100,NV0010000,32,001,32001,sheriffs office,"non-msa cnty 10,000-24,999",mountain,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallon,1982,Nevada,NV,4662,NV00101,NV0010100,32,001,32001,local police department,"cities 2,500-9,999",mountain,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Las Vegas Metro Juris,1982,Nevada,NV,424252,NV00201,NV0020100,32,003,32003,local police department,"cities 250,000-499,999",mountain,non-suburban,438,400,38,386,52,351,34,49,34,1,3,2,8,11,10,4,18,20,19,12,19,22,70,58,40,24,18,9,9,6,3,0,0,2,0,0,1,1,3,1,5,0,2,3,16,8,2,4,1,2,1,0,0,246,147,3,4,27,10,1,0
North Las Vegas,1982,Nevada,NV,47068,NV00202,NV0020200,32,003,32003,local police department,"cities 25,000-49,999",mountain,suburban,109,86,23,87,22,71,15,15,15,1,1,6,4,2,2,8,4,1,2,6,2,2,15,14,4,4,5,1,2,0,1,0,0,1,1,4,1,0,0,1,0,2,0,2,3,4,2,1,0,0,0,0,0,26,60,0,0,6,16,1,0
Henderson,1982,Nevada,NV,26902,NV00203,NV0020300,32,003,32003,local police department,"cities 25,000-49,999",mountain,suburban,26,13,13,25,1,12,13,1,13,0,0,0,4,4,5,2,1,0,1,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,3,0,0,6,7,0,0
Boulder City,1982,Nevada,NV,10598,NV00204,NV0020400,32,003,32003,local police department,"cities 10,000-24,999",mountain,suburban,11,3,8,10,1,2,8,1,8,0,0,4,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,7,1,0,0
