agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Wilmington,1980,Delaware,DE,70366,DE00206,DE0020600,10,003,10003,123,105,18,105,18,91,14,14,14,0,0,3,2,5,4,0,4,5,5,5,6,7,20,11,6,12,7,2,0,0,1,0,0,0,1,1,2,1,1,1,0,0,0,4,3,2,0,1,0,1,0,0,0,32,69,4,0,5,13,0,0
Elsmere,1980,Delaware,DE,6494,DE00207,DE0020700,10,003,10003,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Newport,1980,Delaware,DE,1182,DE00208,DE0020800,10,003,10003,9,5,4,8,1,4,4,1,4,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1,0,0
Delaware City,1980,Delaware,DE,1862,DE00209,DE0020900,10,003,10003,2,1,1,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Fire Marshall N C County,1980,Delaware,DE,0,DE00220,NA,10,003,10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgeville,1980,Delaware,DE,1235,DE00301,DE0030100,10,005,10005,3,3,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Delmar,1980,Delaware,DE,944,DE00302,DE0030200,10,005,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurel,1980,Delaware,DE,3043,DE00303,DE0030300,10,005,10005,37,35,2,34,3,32,1,3,1,1,0,0,0,0,1,1,1,3,1,0,0,3,6,6,6,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,12,22,0,1,2,0,0,0
Lewes,1980,Delaware,DE,2167,DE00304,DE0030400,10,005,10005,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Milford,1980,Delaware,DE,5332,DE00305,DE0030500,10,005,10005,11,8,3,9,2,7,2,1,2,0,0,0,0,1,1,0,1,0,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,2,1,0,0
Milton,1980,Delaware,DE,1358,DE00306,DE0030600,10,005,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rehoboth Beach,1980,Delaware,DE,1658,DE00307,DE0030700,10,005,10005,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Seaford,1980,Delaware,DE,5269,DE00308,DE0030800,10,005,10005,4,3,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0
Blades,1980,Delaware,DE,660,DE00309,DE0030900,10,005,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bethany Beach,1980,Delaware,DE,329,DE00310,DE0031000,10,005,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dagsboro,1980,Delaware,DE,345,DE00311,DE0031100,10,005,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgetown,1980,Delaware,DE,1696,DE00313,DE0031300,10,005,10005,6,5,1,3,3,2,1,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0
Millsboro,1980,Delaware,DE,1134,DE00315,DE0031500,10,005,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selbyville,1980,Delaware,DE,1254,DE00316,DE0031600,10,005,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fire Marshall-sussex Co,1980,Delaware,DE,0,DE00320,NA,10,005,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent State Police,1980,Delaware,DE,59566,DE301SP,DE301SP00,10,001,10001,55,52,3,49,6,47,2,5,2,0,0,0,0,0,2,3,3,2,2,3,3,2,7,8,6,1,0,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,40,12,0,0,3,0,0,0
New Castle State Police,1980,Delaware,DE,0,DE302SP,DE302SP00,10,003,10003,119,93,26,105,14,82,23,11,23,0,2,4,4,7,6,4,6,4,4,5,5,2,20,13,6,5,5,3,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,2,3,0,2,1,0,0,0,0,0,73,20,0,0,14,12,0,0
Sussex State Police,1980,Delaware,DE,70807,DE303SP,DE303SP00,10,005,10005,111,104,7,97,14,91,6,13,6,0,0,0,1,3,2,6,6,5,3,2,7,7,19,13,6,4,2,4,3,3,1,0,0,0,0,1,0,0,2,1,0,0,0,0,2,3,3,0,1,0,0,1,0,59,45,0,0,6,1,0,0
Dover,1981,Delaware,DE,23644,DE00101,DE0010100,10,001,10001,91,68,23,74,17,56,18,12,18,0,2,3,2,5,6,1,1,6,3,3,5,4,13,10,6,2,1,0,1,0,0,0,0,2,1,1,1,1,4,1,0,1,1,0,2,1,1,0,0,0,0,0,0,17,51,0,0,7,15,1,0
Harrington,1981,Delaware,DE,2406,DE00102,DE0010200,10,001,10001,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Smyrna,1981,Delaware,DE,4738,DE00103,DE0010300,10,001,10001,7,3,4,5,2,3,2,0,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0
Capitol Security,1981,Delaware,DE,0,DE00118,DE0011800,10,001,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fire Marshall-kent Co,1981,Delaware,DE,0,DE00120,DE0012000,10,001,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middletown,1981,Delaware,DE,2916,DE00202,DE0020200,10,003,10003,2,0,2,2,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
New Castle Police Depart,1981,Delaware,DE,277507,DE00203,DE0020300,10,003,10003,48,42,6,43,5,38,5,4,5,0,0,0,1,2,2,3,5,2,3,3,1,4,5,4,2,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,29,13,0,0,4,2,0,0
New Castle,1981,Delaware,DE,4959,DE00204,DE0020400,10,003,10003,11,9,2,10,1,8,2,1,2,0,2,0,0,0,0,0,2,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,2,0,0,0
Newark,1981,Delaware,DE,26708,DE00205,DE0020500,10,003,10003,27,26,1,26,1,25,1,1,1,0,0,0,0,1,0,2,7,2,3,0,1,3,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,1,0,1,0,0,0
Wilmington,1981,Delaware,DE,70747,DE00206,DE0020600,10,003,10003,138,124,14,118,20,106,12,18,12,0,1,1,3,3,4,7,5,5,4,6,9,5,24,10,6,9,7,4,1,3,1,0,0,1,0,0,1,0,0,0,2,2,2,1,4,2,2,0,1,1,1,0,0,27,97,0,0,3,11,0,0
Elsmere,1981,Delaware,DE,6529,DE00207,DE0020700,10,003,10003,12,9,3,12,0,9,3,0,3,0,0,0,0,2,1,0,0,1,0,1,0,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,1,0,0
Newport,1981,Delaware,DE,1188,DE00208,DE0020800,10,003,10003,4,4,0,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Delaware City,1981,Delaware,DE,1872,DE00209,DE0020900,10,003,10003,4,3,1,4,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
Fire Marshall N C County,1981,Delaware,DE,0,DE00220,NA,10,003,10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgeville,1981,Delaware,DE,1242,DE00301,DE0030100,10,005,10005,9,7,2,8,1,7,1,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,2,0,0,0
Delmar,1981,Delaware,DE,949,DE00302,DE0030200,10,005,10005,10,7,3,10,0,7,3,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,2,1,0,0
Laurel,1981,Delaware,DE,3059,DE00303,DE0030300,10,005,10005,43,41,2,41,2,39,2,2,2,0,0,0,1,1,0,2,0,2,1,2,2,1,10,4,4,2,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,23,18,0,0,2,0,0,0
Lewes,1981,Delaware,DE,2179,DE00304,DE0030400,10,005,10005,2,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
Milford,1981,Delaware,DE,5361,DE00305,DE0030500,10,005,10005,14,13,1,14,0,13,1,0,1,0,0,0,0,0,1,1,3,1,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,1,0,0
Milton,1981,Delaware,DE,1365,DE00306,DE0030600,10,005,10005,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
Rehoboth Beach,1981,Delaware,DE,1667,DE00307,DE0030700,10,005,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seaford,1981,Delaware,DE,5298,DE00308,DE0030800,10,005,10005,7,5,2,5,2,3,2,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0
Georgetown,1981,Delaware,DE,1705,DE00313,DE0031300,10,005,10005,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
Selbyville,1981,Delaware,DE,1261,DE00316,DE0031600,10,005,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fire Marshall-sussex Co,1981,Delaware,DE,0,DE00320,NA,10,005,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent State Police,1981,Delaware,DE,59888,DE301SP,DE301SP00,10,001,10001,94,83,11,83,11,74,9,9,9,0,2,0,1,3,3,7,4,2,3,4,5,2,16,11,9,3,0,4,2,2,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,1,0,1,2,0,1,0,0,56,27,0,0,9,2,0,0
New Castle State Police,1981,Delaware,DE,0,DE302SP,DE302SP00,10,003,10003,118,85,33,102,16,72,30,13,30,0,3,9,4,5,9,4,6,5,6,5,6,2,19,5,5,5,2,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,4,1,1,1,1,2,2,0,0,0,0,69,16,0,0,17,16,0,0
Sussex State Police,1981,Delaware,DE,71189,DE303SP,DE303SP00,10,005,10005,180,173,7,163,17,157,6,16,6,0,0,1,2,2,1,4,4,8,5,8,12,5,31,20,22,12,15,5,1,1,4,0,0,0,0,0,1,0,1,1,1,0,2,0,4,3,2,0,1,1,0,0,0,104,69,0,0,5,2,0,0
Dover,1982,Delaware,DE,23803,DE00101,DE0010100,10,001,10001,101,88,13,81,20,70,11,18,11,0,2,5,0,2,2,3,5,5,3,6,4,3,18,9,9,3,0,1,0,0,1,0,0,0,1,1,0,1,1,5,1,4,1,1,1,0,0,1,2,0,0,0,0,28,60,0,0,6,7,0,0
Harrington,1982,Delaware,DE,2422,DE00102,DE0010200,10,001,10001,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Smyrna,1982,Delaware,DE,4769,DE00103,DE0010300,10,001,10001,3,2,1,2,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Felton,1982,Delaware,DE,551,DE00107,DE0010700,10,001,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capitol Security,1982,Delaware,DE,0,DE00118,DE0011800,10,001,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fire Marshall-kent Co,1982,Delaware,DE,0,DE00120,DE0012000,10,001,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middletown,1982,Delaware,DE,2935,DE00202,DE0020200,10,003,10003,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
New Castle Police Depart,1982,Delaware,DE,279362,DE00203,DE0020300,10,003,10003,68,54,14,56,12,44,11,10,11,1,0,1,3,3,4,2,3,3,2,1,6,2,12,3,4,0,4,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,3,1,2,0,1,0,0,0,0,39,15,0,0,12,2,0,0
New Castle,1982,Delaware,DE,4992,DE00204,DE0020400,10,003,10003,11,8,3,9,2,7,2,1,2,0,0,0,2,0,0,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,1,2,0,0
Newark,1982,Delaware,DE,26887,DE00205,DE0020500,10,003,10003,22,20,2,21,1,19,2,1,2,0,0,0,0,1,1,2,4,2,3,0,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,1,2,0,0,0
Wilmington,1982,Delaware,DE,71220,DE00206,DE0020600,10,003,10003,234,221,13,192,42,181,11,40,11,0,1,2,2,4,2,5,14,12,6,8,8,16,32,29,19,14,5,4,1,3,5,0,0,2,0,0,0,5,4,1,1,3,4,1,7,2,9,3,0,0,0,0,0,64,138,1,18,4,9,0,0
Elsmere,1982,Delaware,DE,6573,DE00207,DE0020700,10,003,10003,12,10,2,10,2,8,2,2,2,0,0,0,1,0,1,0,2,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,2,0,0,2,0,0,0
Newport,1982,Delaware,DE,1196,DE00208,DE0020800,10,003,10003,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Delaware City,1982,Delaware,DE,1885,DE00209,DE0020900,10,003,10003,7,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Fire Marshall N C County,1982,Delaware,DE,0,DE00220,NA,10,003,10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgeville,1982,Delaware,DE,1250,DE00301,DE0030100,10,005,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delmar,1982,Delaware,DE,955,DE00302,DE0030200,10,005,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
