agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,mtr_veh_theft_tot_arrests,mtr_veh_theft_tot_adult,mtr_veh_theft_tot_juv,mtr_veh_theft_tot_male,mtr_veh_theft_tot_female,mtr_veh_theft_tot_male_adult,mtr_veh_theft_tot_male_juv,mtr_veh_theft_tot_female_adult,mtr_veh_theft_tot_female_juv,mtr_veh_theft_male_under_10,mtr_veh_theft_male_10_12,mtr_veh_theft_male_13_14,mtr_veh_theft_male_15,mtr_veh_theft_male_16,mtr_veh_theft_male_17,mtr_veh_theft_male_18,mtr_veh_theft_male_19,mtr_veh_theft_male_20,mtr_veh_theft_male_21,mtr_veh_theft_male_22,mtr_veh_theft_male_23,mtr_veh_theft_male_24,mtr_veh_theft_male_25_29,mtr_veh_theft_male_30_34,mtr_veh_theft_male_35_39,mtr_veh_theft_male_40_44,mtr_veh_theft_male_45_49,mtr_veh_theft_male_50_54,mtr_veh_theft_male_55_59,mtr_veh_theft_male_60_64,mtr_veh_theft_male_over_64,mtr_veh_theft_female_under_10,mtr_veh_theft_female_10_12,mtr_veh_theft_female_13_14,mtr_veh_theft_female_15,mtr_veh_theft_female_16,mtr_veh_theft_female_17,mtr_veh_theft_female_18,mtr_veh_theft_female_19,mtr_veh_theft_female_20,mtr_veh_theft_female_21,mtr_veh_theft_female_22,mtr_veh_theft_female_23,mtr_veh_theft_female_24,mtr_veh_theft_female_25_29,mtr_veh_theft_female_30_34,mtr_veh_theft_female_35_39,mtr_veh_theft_female_40_44,mtr_veh_theft_female_45_49,mtr_veh_theft_female_50_54,mtr_veh_theft_female_55_59,mtr_veh_theft_female_60_64,mtr_veh_theft_female_over_64,mtr_veh_theft_adult_white,mtr_veh_theft_adult_black,mtr_veh_theft_adult_asian,mtr_veh_theft_adult_indian,mtr_veh_theft_juv_white,mtr_veh_theft_juv_black,mtr_veh_theft_juv_asian,mtr_veh_theft_juv_indian
Provincetown,1980,Massachusetts,MA,3520,MA00111,MA0011100,25,001,25001,local police department,"cities 2,500-9,999",new england,non-suburban,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sandwich,1980,Massachusetts,MA,8709,MA00112,MA0011200,25,001,25001,local police department,"cities 2,500-9,999",new england,non-suburban,13,7,6,13,0,7,6,0,6,0,0,1,2,0,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,6,0,0,0
Truro,1980,Massachusetts,MA,1485,MA00113,MA0011300,25,001,25001,local police department,"cities under 2,500",new england,non-suburban,3,2,1,3,0,2,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
Wellfleet,1980,Massachusetts,MA,2204,MA00114,MA0011400,25,001,25001,local police department,"cities under 2,500",new england,non-suburban,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
West Yarmouth,1980,Massachusetts,MA,18294,MA00115,MA0011500,25,001,25001,local police department,"cities 10,000-24,999",new england,non-suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Adams,1980,Massachusetts,MA,10385,MA00201,MA0020100,25,003,25003,local police department,"cities 10,000-24,999",new england,suburban,4,1,3,3,1,0,3,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
Cheshire,1980,Massachusetts,MA,3133,MA00204,MA0020400,25,003,25003,local police department,"cities 2,500-9,999",new england,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalton,1980,Massachusetts,MA,6798,MA00206,MA0020600,25,003,25003,local police department,"cities 2,500-9,999",new england,suburban,3,0,3,3,0,0,3,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Great Barrington,1980,Massachusetts,MA,7404,MA00209,MA0020900,25,003,25003,local police department,"cities 2,500-9,999",new england,suburban,9,6,3,8,1,5,3,1,3,0,0,1,0,2,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0
Lanesboro,1980,Massachusetts,MA,3110,MA00212,MA0021200,25,003,25003,local police department,"cities 2,500-9,999",new england,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,1980,Massachusetts,MA,6274,MA00213,MA0021300,25,003,25003,local police department,"cities 2,500-9,999",new england,suburban,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Monterey,1980,Massachusetts,MA,826,MA00215,MA0021500,25,003,25003,local police department,"cities under 2,500",new england,suburban,3,0,3,3,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
North Adams,1980,Massachusetts,MA,17910,MA00219,MA0021900,25,003,25003,local police department,"cities 10,000-24,999",new england,suburban,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pittsfield,1980,Massachusetts,MA,51942,MA00222,MA0022200,25,003,25003,local police department,"cities 50,000-99,999",new england,non-suburban,26,7,19,23,3,6,17,1,17,0,0,2,3,8,4,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,19,0,0,0
Sheffield,1980,Massachusetts,MA,2749,MA00226,MA0022600,25,003,25003,local police department,"cities 2,500-9,999",new england,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Stockbridge,1980,Massachusetts,MA,2350,MA00227,MA0022700,25,003,25003,local police department,"cities under 2,500",new england,suburban,6,1,5,5,1,1,4,0,4,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0
Williamstown,1980,Massachusetts,MA,8727,MA00231,MA0023100,25,003,25003,local police department,"cities 2,500-9,999",new england,suburban,5,0,5,3,2,0,3,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Acushnet,1980,Massachusetts,MA,8705,MA00301,MA0030100,25,005,25005,local police department,"cities 2,500-9,999",new england,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dighton,1980,Massachusetts,MA,5347,MA00305,MA0030500,25,005,25005,local police department,"cities 2,500-9,999",new england,suburban,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Fairhaven,1980,Massachusetts,MA,15793,MA00307,MA0030700,25,005,25005,local police department,"cities 10,000-24,999",new england,suburban,14,6,8,12,2,6,5,0,5,1,0,1,3,1,0,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,8,0,0,0
Fall River,1980,Massachusetts,MA,92240,MA00308,MA0030800,25,005,25005,local police department,"cities 50,000-99,999",new england,non-suburban,127,47,80,117,10,43,74,4,74,0,2,10,20,28,14,8,9,4,0,1,3,8,5,3,1,1,0,0,0,0,0,0,0,1,3,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,45,2,0,0,78,2,0,0
Freetown,1980,Massachusetts,MA,7067,MA00309,MA0030900,25,005,25005,local police department,"cities 2,500-9,999",new england,suburban,11,3,8,8,3,3,5,0,5,0,0,2,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,8,0,0,0
Mansfield,1980,Massachusetts,MA,13452,MA00310,MA0031000,25,005,25005,local police department,"cities 10,000-24,999",new england,suburban,4,2,2,4,0,2,2,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
New Bedford,1980,Massachusetts,MA,98397,MA00311,MA0031100,25,005,25005,local police department,"cities 50,000-99,999",new england,non-suburban,72,35,37,68,4,33,35,2,35,0,0,2,16,9,8,5,4,8,1,4,1,1,3,5,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,12,0,0,27,10,0,0
North Attleboro,1980,Massachusetts,MA,21071,MA00312,MA0031200,25,005,25005,local police department,"cities 10,000-24,999",new england,suburban,19,7,12,18,1,6,12,1,12,0,0,4,2,3,3,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0
Norton,1980,Massachusetts,MA,12736,MA00313,MA0031300,25,005,25005,local police department,"cities 10,000-24,999",new england,suburban,3,0,3,3,0,0,2,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Raynham,1980,Massachusetts,MA,9076,MA00314,MA0031400,25,005,25005,local police department,"cities 2,500-9,999",new england,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rehoboth,1980,Massachusetts,MA,7600,MA00315,MA0031500,25,005,25005,local police department,"cities 2,500-9,999",new england,suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Seekonk,1980,Massachusetts,MA,12259,MA00316,MA0031600,25,005,25005,local police department,"cities 10,000-24,999",new england,suburban,4,1,3,4,0,1,3,0,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
Somerset,1980,Massachusetts,MA,18826,MA00317,MA0031700,25,005,25005,local police department,"cities 10,000-24,999",new england,suburban,5,3,2,5,0,3,2,0,2,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
Swansea,1980,Massachusetts,MA,15424,MA00318,MA0031800,25,005,25005,local police department,"cities 10,000-24,999",new england,suburban,20,6,14,17,3,6,11,0,11,0,1,3,2,2,3,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,0,0
Taunton,1980,Massachusetts,MA,45043,MA00319,MA0031900,25,005,25005,local police department,"cities 25,000-49,999",new england,suburban,23,14,9,20,3,12,8,2,8,0,0,0,1,4,3,3,2,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,2,0,0,9,0,0,0
Westport,1980,Massachusetts,MA,13756,MA00320,MA0032000,25,005,25005,local police department,"cities 10,000-24,999",new england,suburban,18,4,14,17,1,4,13,0,13,0,0,1,3,3,6,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0
Oak Bluffs,1980,Massachusetts,MA,1985,MA00405,MA0040500,25,007,25007,local police department,"cities under 2,500",new england,non-suburban,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tisbury,1980,Massachusetts,MA,2966,MA00406,MA0040600,25,007,25007,local police department,"cities 2,500-9,999",new england,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amesbury,1980,Massachusetts,MA,13961,MA00501,MA0050100,25,009,25009,local police department,"cities 10,000-24,999",new england,suburban,3,0,3,3,0,0,3,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Andover,1980,Massachusetts,MA,26367,MA00502,MA0050200,25,009,25009,local police department,"cities 25,000-49,999",new england,suburban,5,3,2,5,0,3,2,0,2,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
Beverly,1980,Massachusetts,MA,37084,MA00503,MA0050300,25,009,25009,local police department,"cities 25,000-49,999",new england,suburban,21,8,13,17,4,8,9,0,9,0,1,0,1,4,3,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13,0,0,0
Boxford,1980,Massachusetts,MA,5371,MA00504,MA0050400,25,009,25009,local police department,"cities 2,500-9,999",new england,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danvers,1980,Massachusetts,MA,24069,MA00505,MA0050500,25,009,25009,local police department,"cities 10,000-24,999",new england,suburban,23,11,12,19,4,9,10,2,10,0,0,2,1,4,3,3,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,12,0,0,0
Essex,1980,Massachusetts,MA,2978,MA00506,MA0050600,25,009,25009,local police department,"cities 2,500-9,999",new england,suburban,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Georgetown,1980,Massachusetts,MA,5685,MA00507,MA0050700,25,009,25009,local police department,"cities 2,500-9,999",new england,suburban,8,3,5,7,1,3,4,0,4,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0
Gloucester,1980,Massachusetts,MA,27712,MA00508,MA0050800,25,009,25009,local police department,"cities 25,000-49,999",new england,suburban,18,7,11,18,0,7,11,0,11,0,0,0,0,5,6,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,0,0,0
Groveland,1980,Massachusetts,MA,5039,MA00509,MA0050900,25,009,25009,local police department,"cities 2,500-9,999",new england,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,1980,Massachusetts,MA,6898,MA00510,MA0051000,25,009,25009,local police department,"cities 2,500-9,999",new england,suburban,8,0,8,8,0,0,8,0,8,0,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Ipswich,1980,Massachusetts,MA,11131,MA00512,MA0051200,25,009,25009,local police department,"cities 10,000-24,999",new england,suburban,7,4,3,6,1,3,3,1,3,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0
Lawrence,1980,Massachusetts,MA,62811,MA00513,MA0051300,25,009,25009,local police department,"cities 50,000-99,999",new england,non-suburban,41,16,25,36,5,14,22,2,22,0,1,2,5,6,8,3,3,2,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,25,0,0,0
Lynn,1980,Massachusetts,MA,78299,MA00514,MA0051400,25,009,25009,local police department,"cities 50,000-99,999",new england,suburban,76,39,37,70,6,37,33,2,33,0,0,6,10,10,7,7,12,3,4,3,0,1,5,0,1,1,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0,0,33,4,0,0
Lynnfield,1980,Massachusetts,MA,11248,MA00515,MA0051500,25,009,25009,local police department,"cities 10,000-24,999",new england,suburban,3,2,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
Manchester,1980,Massachusetts,MA,5442,MA00516,MA0051600,25,009,25009,local police department,"cities 2,500-9,999",new england,suburban,5,3,2,5,0,3,2,0,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
Marblehead,1980,Massachusetts,MA,20085,MA00517,MA0051700,25,009,25009,local police department,"cities 10,000-24,999",new england,suburban,2,1,1,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Merrimac,1980,Massachusetts,MA,4442,MA00518,MA0051800,25,009,25009,local police department,"cities 2,500-9,999",new england,suburban,3,0,3,3,0,0,3,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Methuen,1980,Massachusetts,MA,36616,MA00519,MA0051900,25,009,25009,local police department,"cities 25,000-49,999",new england,suburban,17,11,6,16,1,10,6,1,6,0,0,0,3,2,1,3,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,6,0,0,0
Middleton,1980,Massachusetts,MA,4161,MA00520,MA0052000,25,009,25009,local police department,"cities 2,500-9,999",new england,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
