agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,mtr_veh_theft_tot_arrests,mtr_veh_theft_tot_adult,mtr_veh_theft_tot_juv,mtr_veh_theft_tot_male,mtr_veh_theft_tot_female,mtr_veh_theft_tot_male_adult,mtr_veh_theft_tot_male_juv,mtr_veh_theft_tot_female_adult,mtr_veh_theft_tot_female_juv,mtr_veh_theft_male_under_10,mtr_veh_theft_male_10_12,mtr_veh_theft_male_13_14,mtr_veh_theft_male_15,mtr_veh_theft_male_16,mtr_veh_theft_male_17,mtr_veh_theft_male_18,mtr_veh_theft_male_19,mtr_veh_theft_male_20,mtr_veh_theft_male_21,mtr_veh_theft_male_22,mtr_veh_theft_male_23,mtr_veh_theft_male_24,mtr_veh_theft_male_25_29,mtr_veh_theft_male_30_34,mtr_veh_theft_male_35_39,mtr_veh_theft_male_40_44,mtr_veh_theft_male_45_49,mtr_veh_theft_male_50_54,mtr_veh_theft_male_55_59,mtr_veh_theft_male_60_64,mtr_veh_theft_male_over_64,mtr_veh_theft_female_under_10,mtr_veh_theft_female_10_12,mtr_veh_theft_female_13_14,mtr_veh_theft_female_15,mtr_veh_theft_female_16,mtr_veh_theft_female_17,mtr_veh_theft_female_18,mtr_veh_theft_female_19,mtr_veh_theft_female_20,mtr_veh_theft_female_21,mtr_veh_theft_female_22,mtr_veh_theft_female_23,mtr_veh_theft_female_24,mtr_veh_theft_female_25_29,mtr_veh_theft_female_30_34,mtr_veh_theft_female_35_39,mtr_veh_theft_female_40_44,mtr_veh_theft_female_45_49,mtr_veh_theft_female_50_54,mtr_veh_theft_female_55_59,mtr_veh_theft_female_60_64,mtr_veh_theft_female_over_64,mtr_veh_theft_adult_white,mtr_veh_theft_adult_black,mtr_veh_theft_adult_asian,mtr_veh_theft_adult_indian,mtr_veh_theft_juv_white,mtr_veh_theft_juv_black,mtr_veh_theft_juv_asian,mtr_veh_theft_juv_indian
Cheshire,1980,Connecticut,CT,21545,CT00025,CT0002500,09,009,09009,local police department,"cities 10,000-24,999",new england,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Clinton,1980,Connecticut,CT,11224,CT00027,CT0002700,09,007,09007,local police department,"cities 10,000-24,999",new england,non-suburban,4,3,1,4,0,3,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
Coventry,1980,Connecticut,CT,8890,CT00032,CT0003200,09,013,09013,local police department,"cities 2,500-9,999",new england,suburban,5,2,3,5,0,2,3,0,3,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
Danbury,1980,Connecticut,CT,59303,CT00034,CT0003400,09,001,09001,local police department,"cities 50,000-99,999",new england,non-suburban,3,0,3,3,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Darien,1980,Connecticut,CT,18808,CT00035,CT0003500,09,001,09001,local police department,"cities 10,000-24,999",new england,suburban,19,11,8,19,0,11,8,0,8,0,0,0,1,5,2,2,2,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,6,2,0,0
Derby,1980,Connecticut,CT,12184,CT00037,CT0003700,09,009,09009,local police department,"cities 10,000-24,999",new england,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Hampton,1980,Connecticut,CT,8584,CT00042,CT0004200,09,007,09007,local police department,"cities 2,500-9,999",new england,non-suburban,7,0,7,7,0,0,7,0,7,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
East Hartford,1980,Connecticut,CT,52554,CT00043,CT0004300,09,003,09003,local police department,"cities 50,000-99,999",new england,suburban,70,34,36,67,3,34,32,0,32,1,0,8,8,10,6,5,5,6,1,1,1,2,10,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,1,0,27,9,0,0
East Haven Town,1980,Connecticut,CT,24978,CT00044,CT0004400,09,009,09009,local police department,"cities 10,000-24,999",new england,suburban,6,0,6,6,0,0,6,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Easton,1980,Connecticut,CT,5931,CT00046,CT0004600,09,001,09001,local police department,"cities 2,500-9,999",new england,suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
East Windsor,1980,Connecticut,CT,8944,CT00047,CT0004700,09,003,09003,local police department,"cities 2,500-9,999",new england,suburban,5,1,4,3,2,1,2,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
Enfield,1980,Connecticut,CT,42709,CT00049,CT0004900,09,003,09003,local police department,"cities 25,000-49,999",new england,suburban,57,30,27,57,0,30,27,0,27,0,3,7,2,7,8,4,4,6,1,6,0,1,0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,23,4,0,0
Fairfield,1980,Connecticut,CT,54699,CT00051,CT0005100,09,001,09001,local police department,"cities 50,000-99,999",new england,suburban,9,7,2,9,0,7,2,0,2,0,0,0,0,0,2,1,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0
Farmington,1980,Connecticut,CT,16410,CT00052,CT0005200,09,003,09003,local police department,"cities 10,000-24,999",new england,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glastonbury,1980,Connecticut,CT,24276,CT00054,CT0005400,09,003,09003,local police department,"cities 10,000-24,999",new england,suburban,12,5,7,8,4,5,3,0,3,0,0,0,1,2,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0
Granby,1980,Connecticut,CT,7935,CT00056,CT0005600,09,003,09003,local police department,"cities 2,500-9,999",new england,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenwich,1980,Connecticut,CT,58667,CT00057,CT0005700,09,001,09001,local police department,"cities 50,000-99,999",new england,suburban,55,16,39,47,8,14,33,2,33,0,1,9,16,3,4,0,1,1,3,2,1,0,4,1,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,1,0,0,36,3,0,0
Jewett City,1980,Connecticut,CT,3290,CT00058,CT0005800,09,011,09011,local police department,"cities 2,500-9,999",new england,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Groton City,1980,Connecticut,CT,10091,CT00059,CT0005900,09,011,09011,local police department,"cities 10,000-24,999",new england,suburban,15,5,10,14,1,5,9,0,9,0,1,2,4,2,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,7,3,0,0
Guilford,1980,Connecticut,CT,17729,CT00060,CT0006000,09,009,09009,local police department,"cities 10,000-24,999",new england,suburban,8,2,6,8,0,2,6,0,6,0,0,0,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0
Hamden,1980,Connecticut,CT,51015,CT00062,CT0006200,09,009,09009,local police department,"cities 50,000-99,999",new england,suburban,7,1,6,6,1,1,5,0,5,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0
Danielson,1980,Connecticut,CT,4557,CT00069,CT0006900,09,015,09015,local police department,"cities 2,500-9,999",new england,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Town,1980,Connecticut,CT,13925,CT00076,CT0007600,09,009,09009,local police department,"cities 10,000-24,999",new england,suburban,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Manchester,1980,Connecticut,CT,49802,CT00077,CT0007700,09,003,09003,local police department,"cities 25,000-49,999",new england,suburban,8,5,3,6,2,3,3,2,3,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0
Meriden,1980,Connecticut,CT,56506,CT00080,CT0008000,09,009,09009,local police department,"cities 50,000-99,999",new england,non-suburban,13,6,7,10,3,3,7,3,7,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0
Middlebury,1980,Connecticut,CT,5927,CT00081,CT0008100,09,009,09009,local police department,"cities 2,500-9,999",new england,suburban,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Middletown,1980,Connecticut,CT,39030,CT00083,CT0008300,09,007,09007,local police department,"cities 25,000-49,999",new england,non-suburban,32,0,32,31,1,0,31,0,31,0,2,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,0,0
Milford,1980,Connecticut,CT,50886,CT00084,CT0008400,09,009,09009,local police department,"cities 50,000-99,999",new england,suburban,6,0,6,5,1,0,5,0,5,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Monroe,1980,Connecticut,CT,13952,CT00085,CT0008500,09,001,09001,local police department,"cities 10,000-24,999",new england,suburban,14,4,10,12,2,3,9,1,9,0,0,1,6,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,10,0,0,0
Naugatuck,1980,Connecticut,CT,26157,CT00088,CT0008800,09,009,09009,local police department,"cities 25,000-49,999",new england,suburban,7,0,7,7,0,0,7,0,7,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
New Britain,1980,Connecticut,CT,73674,CT00089,CT0008900,09,003,09003,local police department,"cities 50,000-99,999",new england,non-suburban,21,6,15,21,0,6,15,0,15,0,0,1,6,5,3,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,6,9,0,0
New Canaan,1980,Connecticut,CT,17845,CT00090,CT0009000,09,001,09001,local police department,"cities 10,000-24,999",new england,suburban,12,2,10,12,0,2,10,0,10,0,0,4,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,2,0,0
New Haven,1980,Connecticut,CT,125787,CT00093,CT0009300,09,009,09009,local police department,"cities 100,000-249,999",new england,non-suburban,143,81,62,137,6,77,60,4,60,0,1,12,18,12,17,14,7,2,7,2,6,3,19,8,4,3,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,24,57,0,0,20,42,0,0
Newington,1980,Connecticut,CT,28839,CT00094,CT0009400,09,003,09003,local police department,"cities 25,000-49,999",new england,suburban,18,3,15,17,1,2,15,1,15,0,1,3,4,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,14,1,0,0
New London,1980,Connecticut,CT,28907,CT00095,CT0009500,09,011,09011,local police department,"cities 25,000-49,999",new england,non-suburban,15,10,5,15,0,10,5,0,5,0,0,0,1,1,3,0,3,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,1,0,0
New Milford,1980,Connecticut,CT,19316,CT00096,CT0009600,09,005,09005,local police department,"cities 10,000-24,999",new england,non-suburban,4,2,2,2,2,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
Newtown,1980,Connecticut,CT,18794,CT00097,CT0009700,09,001,09001,local police department,"cities 10,000-24,999",new england,suburban,11,8,3,11,0,8,3,0,3,0,0,1,2,0,0,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,1,0,0
North Branford,1980,Connecticut,CT,11474,CT00099,CT0009900,09,009,09009,local police department,"cities 10,000-24,999",new england,suburban,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
North Haven,1980,Connecticut,CT,22031,CT00101,CT0010100,09,009,09009,local police department,"cities 10,000-24,999",new england,suburban,4,0,4,3,1,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
Norwalk,1980,Connecticut,CT,76730,CT00103,CT0010300,09,001,09001,local police department,"cities 50,000-99,999",new england,non-suburban,47,42,5,46,1,41,5,1,5,0,0,5,0,0,0,19,7,0,1,4,0,0,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,0,0,4,1,0,0
Norwich,1980,Connecticut,CT,38052,CT00104,CT0010400,09,011,09011,local police department,"cities 25,000-49,999",new england,non-suburban,36,23,13,31,5,22,9,1,9,0,0,2,5,1,1,2,1,0,1,1,2,3,6,2,2,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,2,0,0,10,3,0,0
Old Saybrook,1980,Connecticut,CT,9343,CT00106,CT0010600,09,007,09007,local police department,"cities 2,500-9,999",new england,non-suburban,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Orange,1980,Connecticut,CT,13225,CT00107,CT0010700,09,009,09009,local police department,"cities 10,000-24,999",new england,suburban,8,5,3,7,1,5,2,0,2,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,1,0,0
Plainville,1980,Connecticut,CT,16429,CT00110,CT0011000,09,003,09003,local police department,"cities 10,000-24,999",new england,suburban,7,5,2,7,0,5,2,0,2,0,0,0,0,2,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0
Plymouth,1980,Connecticut,CT,10745,CT00111,CT0011100,09,005,09005,local police department,"cities 10,000-24,999",new england,non-suburban,11,1,10,11,0,1,10,0,10,0,0,3,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0
Putnam,1980,Connecticut,CT,6857,CT00116,CT0011600,09,015,09015,local police department,"cities 2,500-9,999",new england,non-suburban,7,2,5,5,2,2,3,0,3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0
Ridgefield Town,1980,Connecticut,CT,20035,CT00118,CT0011800,09,001,09001,local police department,"cities 10,000-24,999",new england,suburban,3,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
Rocky Hill,1980,Connecticut,CT,14569,CT00119,CT0011900,09,003,09003,local police department,"cities 10,000-24,999",new england,suburban,15,5,10,15,0,5,10,0,10,0,0,2,4,1,3,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,9,1,0,0
Seymour,1980,Connecticut,CT,13343,CT00124,CT0012400,09,009,09009,local police department,"cities 10,000-24,999",new england,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Shelton,1980,Connecticut,CT,31401,CT00126,CT0012600,09,001,09001,local police department,"cities 25,000-49,999",new england,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simsbury,1980,Connecticut,CT,19810,CT00128,CT0012800,09,003,09003,local police department,"cities 10,000-24,999",new england,suburban,5,4,1,5,0,4,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
Southington,1980,Connecticut,CT,36747,CT00131,CT0013100,09,003,09003,local police department,"cities 25,000-49,999",new england,suburban,6,4,2,6,0,4,2,0,2,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0
South Windsor,1980,Connecticut,CT,17204,CT00132,CT0013200,09,003,09003,local police department,"cities 10,000-24,999",new england,suburban,11,3,8,10,1,3,6,0,6,1,0,2,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,1,0,0
Stafford Springs,1980,Connecticut,CT,3375,CT00134,CT0013400,09,013,09013,local police department,"cities 2,500-9,999",new england,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stamford,1980,Connecticut,CT,101636,CT00135,CT0013500,09,001,09001,local police department,"cities 100,000-249,999",new england,non-suburban,23,12,11,19,4,10,9,2,9,0,0,1,3,4,1,2,1,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,7,0,0,7,4,0,0
